id,district,block,phc
1,BARPETA,BARPETA ROAD,BARPETA ROAD BPHC
2,BARPETA,BARPETA ROAD,KAMARGAON SD
3,BARPETA,BARPETA ROAD,ODALGURI SD
4,BARPETA,BHAWANIPUR,BHAWANIPUR BPHC
5,BARPETA,BHAWANIPUR,GAREMARI PHC
6,BARPETA,BHAWANIPUR,HOWLY SHC
7,BARPETA,BHAWANIPUR,KAYAKUCHI PHC
8,BARPETA,BHAWANIPUR,SARUTAPA MPHC
9,BARPETA,CHENGA,CHENGA BPHC
10,BARPETA,CHENGA,BAHARI MPHC
11,BARPETA,CHENGA,GOHIA MPHC
12,BARPETA,CHENGA,AMRIKHOWA MPHC
13,BARPETA,CHENGA,KASUMARA SD
14,BARPETA,CHENGA,BYASKUCHI SD
15,BARPETA,CHENGA,KARAIKHAITI RPHC
16,BARPETA,CHENGA,KHOLABANDHA RPHC
17,BARPETA,CHENGA,PUB MAHCHARA RPHC
18,BARPETA,CHENGA,CHATLA
19,BARPETA,KALGACHIA,KALGACHIA BPHC
20,BARPETA,KALGACHIA,ROHA PHC
21,BARPETA,KALGACHIA,TITAPANI MPHC
22,BARPETA,KALGACHIA,CHANDMAMA SD
23,BARPETA,KALGACHIA,ISABPUR RIVERINE PHC
24,BARPETA,KALGACHIA,SORBHOG SHC
25,BARPETA,MANDIA,Moinbari MPHC
26,BARPETA,MANDIA,Mandia BPHC
27,BARPETA,MANDIA,Jania SD
28,BARPETA,MANDIA,Baghbar PHC
29,BARPETA,MANDIA,Balikuri RPHC
30,BARPETA,MANDIA,Tarakandhi RPHC
31,BARPETA,MANDIA,Kadamtola RPHC
32,BARPETA,MANDIA,Baghmarachar RPHC
33,BARPETA,MANDIA,Alopati MPHC
34,BARPETA,NAGAON,AMDAH MPHC
35,BARPETA,NAGAON,BHELLA MPHC
36,BARPETA,NAGAON,KAWAIMARI SD
37,BARPETA,NAGAON,KEOTKUCHI MPHC
38,BARPETA,NAGAON,NAGAON BPHC
39,BARPETA,NAGAON,NASATRA PHC
40,BARPETA,NITYANANDA,NITYANANDA BPHC
41,BARPETA,NITYANANDA,BARBANG MPHC
42,BARPETA,NITYANANDA,BARHAMCHARI MPHC
43,BARPETA,NITYANANDA,AKAYA MPHC
44,BARPETA,NITYANANDA,PATACHARKUCHI MPHC
45,BARPETA,NITYANANDA,HELONA MPHC
46,BARPETA,NITYANANDA,SADERI SD
47,BARPETA,NITYANANDA,PUTHIMARI MPHC
48,BARPETA,NITYANANDA,CHEKI MPHC
49,BARPETA,NITYANANDA,DHEMSA MPHC
50,BARPETA,NITYANANDA,SARUPETA MPHC
51,BARPETA,NITYANANDA,GOMURA MPHC
52,BAKSA,Jalah,Jalah PHC
53,BAKSA,Jalah,Salbari MPHC
54,BAKSA,Jalah,Saudarvitha MPHC
55,BAKSA,Jalah,Charna Bajar MPHC
56,BAKSA,Jalah,Sarumanikpur SD
57,BAKSA,Jalah,Nimua MPHC
58,BAKSA,Jalah,Majorgoan PHC
59,Baksa,Barama BPHC,Barama PHC
60,Baksa,Barama BPHC,BARIMAKHA SD
61,Baksa,Barama BPHC,DEBASARA SD
62,Baksa,Barama BPHC,DIGHELI SD
63,Baksa,Barama BPHC,MEDAGHAT MPHC
64,BAKSA,Nizkaurbaha,Nizkaurbaha BPHC
65,BAKSA,Nizkaurbaha,Naokata MPHC
66,BAKSA,Nizkaurbaha,Goreswar MPHC 
67,BAKSA,Nizkaurbaha,Sonmahari MPHC
68,BAKSA,Nizkaurbaha,Uttar Betna SD
69,BAKSA,Nizkaurbaha,Dwarkuchi SD
70,BAKSA,Mushalpur,Adalbari SD
71,BAKSA,Mushalpur,Angardhowa MPHC
72,BAKSA,Mushalpur,Athiabari SD
73,BAKSA,Mushalpur,Baganpara MPHC
74,BAKSA,Mushalpur,Barbari MPHC
75,BAKSA,Mushalpur,Dighaldonga MPHC
76,BAKSA,Mushalpur,Karemura SD
77,BAKSA,Mushalpur,Nikashi SD
78,BAKSA,Mushalpur,Pamuapathar SHC
79,BAKSA,Mushalpur,Subankhata SD
80,BAKSA,Mushalpur,Thamna MPHC
81,BAKSA,Mushalpur,Mushalpur BPHC
82,BAKSA,Tamulpur,Kumarikata State Dispensary
83,BAKSA,Tamulpur,Khatarbari SD
84,BAKSA,Tamulpur,Tamulpur PHC
85,BAKSA,Tamulpur,Kachukata MPHC
86,BAKSA,Tamulpur,Gandhibari MPHC
87,BAKSA,Tamulpur,Kalakuchi PHC
88,BAKSA,Golagaon,Golagaon 
89,BAKSA,Golagaon,Koklabari
90,BAKSA,Golagaon,Jalagaon
91,BAKSA,Golagaon,Betbari
92,BAKSA,Golagaon,Anchali
93,CACHAR,Bikrampur,Bikrampur PHC
94,CACHAR,Bikrampur,Fulbari MPHC
95,CACHAR,Bikrampur,Gonirgram SD
96,CACHAR,Bikrampur,Sibtilla MPHC
97,CACHAR,Borkhola,Borkhola PHC
98,CACHAR,Borkhola,Salchapra MPHC
99,CACHAR,Borkhola,Chibitabichia MPHC
100,CACHAR,Borkhola,Rajnagar MPHC
101,CACHAR,Borkhola,Kalinagar( Kumar Tilla)
102,CACHAR,Dholai,Dholai
103,CACHAR,Dholai,Narsingpur
104,CACHAR,Dholai,Borjalenga
105,CACHAR,Dholai,Bidyaratanpur
106,CACHAR,Dholai,Hawaithang
107,CACHAR,HARINAGAR,HARINAGAR PHC
108,CACHAR,HARINAGAR,JOYPUR SHC
109,CACHAR,Jalalpur ,Jalalpur PHC
110,CACHAR,Jalalpur ,Katigorah MPHC
111,CACHAR,Lakhipur,LAKHIPUR BPHC
112,CACHAR,Lakhipur,BANSKANDI MPHC
113,CACHAR,Lakhipur,JIRIGHAT MPHC
114,CACHAR,Lakhipur,CHHOTAMAMDA MPHC
115,CACHAR,Lakhipur,DIGER FULERTAL SHC
116,CACHAR,SONAI ,SONAI PHC
117,CACHAR,SONAI ,SONABARIGHAT SHC
118,CACHAR,SONAI ,HARINA MPHC
119,CACHAR,SONAI ,NATUN RAMNAGAR SD
120,CACHAR,SONAI ,SONABARIGHAT PHC
121,CACHAR,SONAI ,Rengty PHC
122,CACHAR,Udharbond,Udharbond BPHC
123,CACHAR,Udharbond,Thaligram MPHC
124,CACHAR,Udharbond,Digar Kashipur MPHC
125,CACHAR,Udharbond,Tikal MPHC (Non Functional)
126,DARRANG,JALJALI,CHAMUAPARA
127,DARRANG,JALJALI,GOSHAIGAON
128,DARRANG,JALJALI,JALJALI
129,DARRANG,JALJALI,NIZ DANHEE
130,DARRANG,JALJALI,RAMHARI
131,DARRANG,JALJALI,RANGAMATI
132,DARRANG,KHARUPETIA,BARUAJHAR
133,DARRANG,KHARUPETIA,DALGAON
134,DARRANG,KHARUPETIA,KUNWARIPUKHURI
135,DARRANG,KHARUPETIA,BHERBHERIBILL
136,DARRANG,KHARUPETIA,SHYAMPUR
137,DARRANG,KHARUPETIA,SILBORI
138,DARRANG,KHARUPETIA,NO.1 MAGURMARI
139,DARRANG,KHARUPETIA,NO.4 ARIMARI
140,DARRANG,KHARUPETIA,DHULA
141,DARRANG,PATHARIGHAT,DUNI
142,DARRANG,PATHARIGHAT,SARABARI
143,DARRANG,PATHARIGHAT,ANDHERIGHAT
144,DARRANG,PATHARIGHAT,HENGALPARA
145,DARRANG,PATHARIGHAT,KENDUGURI
146,DARRANG,PATHARIGHAT,CHENGELIAJHAR
147,DARRANG,PATHARIGHAT,BURHINAGAR
148,DARRANG,PATHARIGHAT,NAMKHOLA
149,DARRANG,PATHARIGHAT,PATHARIGHAT
150,DARRANG,SIPAJHAR,KURUWA
151,DARRANG,SIPAJHAR,GARUKHUTI
152,DARRANG,SIPAJHAR,HAZARIKAPARA
153,DARRANG,SIPAJHAR,LAWJAN
154,DARRANG,SIPAJHAR,DUMUNICHOWKI
155,DARRANG,SIPAJHAR,DHALPUR BHETI BAZAR
156,DHEMAJI,Dhemaji BPHC,Batgharia SHC
157,DHEMAJI,Dhemaji BPHC,Lakhipathar MPHC
158,DHEMAJI,Dhemaji BPHC,Amguri MPHC
159,DHEMAJI,Dhemaji BPHC,Changchangia RPHC
160,DHEMAJI,Dhemaji BPHC,Dhemaji BPHC
161,DHEMAJI,Gogamukh,Adut Gaon Riverine PHC
162,DHEMAJI,Gogamukh,Bordoloni MPHC
163,DHEMAJI,Gogamukh,Borola New PHC
164,DHEMAJI,Gogamukh,Chowkham Gaon New PHC
165,DHEMAJI,JONAI BPHC,TELAM MPHC
166,DHEMAJI,JONAI BPHC,Dekapam MPHC
167,DHEMAJI,JONAI BPHC,Bijoypur MPHC
168,DHEMAJI,JONAI BPHC,Ramdhan MPHC 
169,DHEMAJI,JONAI BPHC,Jonai PHC
170,DHEMAJI,Sissiborgaon BPHC,Sissiborgaon BPHC
171,DHEMAJI,Sissiborgaon BPHC,Silapathar MPHC
172,DHEMAJI,Sissiborgaon BPHC,Khanamukh MPHC
173,DHEMAJI,Sissiborgaon BPHC,Chimenmukh MPHC
174,DHEMAJI,Sissiborgaon BPHC,Deorighat MPHC
175,DHEMAJI,Sissiborgaon BPHC,Mechaki Tangani MPHC(Upgraded)
176,DHEMAJI,BENGENAGARAH ,MACHKHOWA PHC
177,DHEMAJI,BENGENAGARAH ,SISSIMUKH MPHC
178,DHUBRI,Dhubri Urban Unit,Dhubri Health & Maternity Centre
179,DHUBRI,Dharmasala BPHC,Dharmasala PHC
180,DHUBRI,Dharmasala BPHC,Bhogdahor Char PHC
181,DHUBRI,Dharmasala BPHC,Boraibari Char PHC
182,DHUBRI,Dharmasala BPHC,Geramari MPHC
183,Dhubri,Gazarikandi ,Gazarikandi BPHC
184,Dhubri,Gazarikandi ,Jhowdanga SD
185,Dhubri,Gazarikandi ,Sadullabari SHC
186,Dhubri,Gazarikandi ,Kakripara SD
187,Dhubri,Gazarikandi ,Sukchar MPHC
188,Dhubri,Gazarikandi ,Dewaneralga RPHC
189,Dhubri,Gazarikandi ,Hazirhat Bazar RPHC
190,Dhubri,Golakganj,Golakganj PHC
191,Dhubri,Golakganj,Moterjhar SD
192,Dhubri,Golakganj,Kachokhana SD
193,Dhubri,Golakganj,Berbhangi SD
194,Dhubri,Golakganj,Dhephepi MPHC
195,Dhubri,Golakganj,Dumardaha MPHC
196,Dhubri,Golakganj,Tamarhat MPHC
197,Dhubri,South Salmara,South Salmara PHC
198,Dhubri,South Salmara,Fakirganj MPHC
199,Dhubri,South Salmara,Chirakutti MPHC
200,Dhubri,South Salmara,Medertary SD
201,Dhubri,South Salmara,Jarua MPHC
202,Dhubri,South Salmara,Airkata Riverine PHC
203,Dhubri,South Salmara,Birshing pt-I Riverine PHC
204,Dhubri,South Salmara,Katlamari R PHC
205,Dhubri,South Salmara,Mahamayachar R PHC
206,DHUBRI,Raniganj PHC,Raniganj PHC
207,DHUBRI,Raniganj PHC,Lakhiganj SD
208,DHUBRI,Raniganj PHC,Bilasipara SHC
209,DHUBRI,Raniganj PHC,Sapotgram SHC
210,DHUBRI,Raniganj PHC,Futkibari SD
211,DHUBRI,Raniganj PHC,Bogribari SD
212,DHUBRI,Raniganj PHC,Santipur MPHC
213,DHUBRI,Raniganj PHC,Nayaralga Riverrine PHC
214,DHUBRI,Raniganj PHC,Masaneralga Riverine PHC
215,DHUBRI,Dhubri Urban,Urban Health Centre
216,DHUBRI,CHAPAR,Champabati MPHC
217,DHUBRI,CHAPAR,Bahalpur SD
218,DHUBRI,CHAPAR,Salkocha SHC
219,DHUBRI,CHAPAR,Puthimari RPHC
220,DHUBRI,HALAKURA,SATRASAL MPHC
221,DHUBRI,HALAKURA,BOTERHAT SD
222,DIBRUGARH,Naharani,Tinkhong MPHC
223,DIBRUGARH,Naharani,Namrup MPHC
224,DIBRUGARH,Naharani,Nigum MPHC
225,DIBRUGARH,Naharani,Naharkatia SD
226,DIBRUGARH,Naharani,Joypur SD
227,Dibrugarh,Lahowal,LAHOWAL BPHC
228,Dibrugarh,Lahowal,ROHMORIA MPHC
229,Dibrugarh,Lahowal,GHORAMORA SD
230,DIBRUGARH,BARBARUAH,KALAKHOWA MPHC
231,DIBRUGARH,BARBARUAH,MADHUPUR S.D.
232,DIBRUGARH,Barbaruah,Barbaruah PHC
233,DIBRUGARH,BARBARUAH,DIBRUMUKH STATE DISPENSARY
234,DIBRUGARH,Barbaruah BPHC,Namoni Borpathar MPHC
235,DIBRUGARH,Barbaruah BPHC,Jamirah TVR SD
236,DIBRUGARH,Dibrugarh Urban,Dibrugarh SD
237,DIBRUGARH,Dibrugarh Urban,Dibrugarh UHC
238,DIBRUGARH,Panitola,Panitola PHC
239,DIBRUGARH,Rongchongi,Rongchongi MPHC
240,DIBRUGARH,TENGAKHAT,TENGAKHAT PHC
241,DIBRUGARH,TENGAKHAT,KACHARIPATHAR MPHC
242,DIBRUGARH,TENGAKHAT ,SISSIA BOKULONI SD 
243,DIBRUGARH,TENGAKHAT ,DULIAJAN UHC
244,DIBRUGARH,KHOWANG,KHOWANG PHC
245,DIBRUGARH,KHOWANG,SEPON CHAKALIA PHC
246,DIBRUGARH,KHOWANG,SESSUGHAT MPHC
247,DIBRUGARH,KHOWANG,MORAN SD
248,DIBRUGARH,KHOWANG,TINTENGIA MPHC
249,DIBRUGARH,KHOWANG,LENGERI MPHC
250,DIBRUGARH,KHOWANG,2 No GHURAGHAS PHC
251,DIBRUGARH,TENGAKHAT,BHADOIPANCHALI
252,DIMA HASAO,Gunjung BPHC,Gunjung BPHC
253,DIMA HASAO,Gunjung BPHC,Dehangi SD
254,DIMA HASAO,Gunjung BPHC,Diyungmukh MPHC
255,DIMA HASAO,Langting BPHC,Langting PHC
256,DIMA HASAO,Langting BPHC,Hajadisa SHC
257,DIMA HASAO,Mahur BPHC,Mahur  BPHC
258,DIMA HASAO,Mahur BPHC,Laisong SHC
259,DIMA HASAO,Mahur BPHC,Boro-Arkap SHC
260,DIMA HASAO,Mahur BPHC,Harangajao MPHC
261,DIMA HASAO,Mahur BPHC,Jatinga SD
262,DIMA HASAO,Mahur BPHC,Urban Health & FW Centre
263,GOALPARA,Agia BPHC,Agia BPHC
264,GOALPARA,Agia BPHC,Badahpur SD
265,GOALPARA,Agia BPHC,Baguan SD
266,GOALPARA,Agia BPHC,Barvita MPHC
267,GOALPARA,Agia BPHC,Bordhamal SD
268,GOALPARA,Agia BPHC,Joypur MPHC
269,GOALPARA,Agia BPHC,Kharmuja MPHC
270,GOALPARA,Agia BPHC,Markula New PHC
271,GOALPARA,Agia BPHC,Messelkhowa MPHC
272,GOALPARA,Agia BPHC,Tiapara Char PHC
273,GOALPARA,Agia BPHC,AMBARI BAZER SD
274,GOALPARA,Goalpara Urban,"MCHC, Goalpara"
275,GOALPARA,Lakhipur BPHC,Baida SHC
276,GOALPARA,Lakhipur BPHC,Chaibari MPHC
277,GOALPARA,Lakhipur BPHC,Chunari Char PHC
278,GOALPARA,Lakhipur BPHC,Chunari SD
279,GOALPARA,Lakhipur BPHC,Dhumerghat SD
280,GOALPARA,Lakhipur BPHC,Joleswar SHC
281,GOALPARA,Lakhipur BPHC,Lakhipur BPHC
282,GOALPARA,Matia BPHC,Bohati MPHC
283,GOALPARA,Matia BPHC,Dolgoma SD
284,GOALPARA,Matia BPHC,Matia BPHC
285,GOALPARA,Matia BPHC,Simlitola Char PHC
286,GOALPARA,Mornai BPHC,Chenimari MPHC
287,GOALPARA,Mornai BPHC,Dahela Majakhili SD
288,GOALPARA,Mornai BPHC,Dilmajakhili SD
289,GOALPARA,Mornai BPHC,Harimura SD
290,GOALPARA,Mornai BPHC,Khardang MPHC
291,GOALPARA,Mornai BPHC,Krishnai MPHC
292,GOALPARA,Mornai BPHC,Mornai BPHC
293,GOALPARA,Rangjuli BPHC,Ambari MPHC
294,GOALPARA,Rangjuli BPHC,Amjonga New PHC
295,GOALPARA,Rangjuli BPHC,Bagdoba MPHC
296,GOALPARA,Rangjuli BPHC,Damra MPHC
297,GOALPARA,Rangjuli BPHC,Daranggiri SD
298,GOALPARA,Rangjuli BPHC,Khutabari MPHC
299,GOALPARA,Rangjuli BPHC,Kuchdhowa SD
300,GOALPARA,Rangjuli BPHC,Simlitola MPHC
301,GOALPARA,Rangjuli BPHC,Bikali SD
302,GOALPARA,Rangjuli BPHC,Thabalpara MPHC
303,GOALPARA,Rangjuli BPHC,Tiplai MPHC
304,Golaghat,Bokakhat,Kamargaon MPHC
305,Golaghat,Bokakhat,Mahuramukh MPHC
306,Golaghat,Bokakhat,Kohara SD
307,Golaghat,Sarupather BPHC,Morangi PHC
308,Golaghat,Sarupather BPHC,Bhagyapur MPHC
309,Golaghat,Sarupather BPHC,Ponka MPHC
310,Golaghat,Sarupather BPHC,Nahorsola MPHC
311,Golaghat,Sarupather BPHC,B.G. Khat SD
312,GOLAGHAT,Sarupathar,Kachomari SD
313,GOLAGHAT,Sarupathar,BARPATHAR MPHC
314,GOLAGHAT,Sarupathar,Naojan MPHC
315,GOLAGHAT,Sarupathar,Chungajan
316,GOLAGHAT,Sarupathar,Bilgaon MPHC
317,GOLAGHAT,Sarupathar,GELABIL MPHC
318,GOLAGHAT,Missamora BPHC,Missamora BPHC
319,GOLAGHAT,Missamora BPHC,Dergaon SHC
320,GOLAGHAT,Missamora BPHC,Khakandaguri MPHC
321,GOLAGHAT,Missamora BPHC,Bilatia MPHC
322,GOLAGHAT,Missamora BPHC,Khatgaon MPHC
323,GOLAGHAT,Charingia BPHC,Charingia BPHC
324,GOLAGHAT,Charingia BPHC,Khumtai MPHC
325,GOLAGHAT,Charingia BPHC,Dusutimukh  SD
326,GOLAGHAT,Charingia BPHC,Sumoni MPHC
327,GOLAGHAT,Charingia BPHC,Badulipara  MPHC
328,GOLAGHAT,Charingia BPHC,Kuralguri MPHC
329,GOLAGHAT,Charingia BPHC,Majukuchi MPHC
330,GOLAGHAT,Charingia BPHC,Chinatoli  SD
331,GOLAGHAT,Charingia BPHC,Bholaguri  MPHC
332,GOLAGHAT,Charingia BPHC,Buralikson  MPHC
333,GOLAGHAT,Kamarbondha Ali,Kamarbondha Ali BPHC 
334,GOLAGHAT,Kamarbondha Ali,Salikihat SHC 
335,GOLAGHAT,Kamarbondha Ali,Kachamari MPHC 
336,GOLAGHAT,Kamarbondha Ali,Kaborugaon MPHC 
337,GOLAGHAT,Kamarbondha Ali,Athkhelia MPHC 
338,GOLAGHAT,Kamarbondha Ali,Furkating SD 
339,GOLAGHAT,Kamarbondha Ali,Dakhinhengera MPHC 
340,GOLAGHAT,Kamarbondha Ali,Boruagaon MPHC 
341,GOLAGHAT,Kamarbondha Ali,Gonesh Bora MPHC 
342,GOLAGHAT,Kamarbondha Ali,Lakhijuri MPHC 
343,GOLAGHAT,Kamarbondha Ali,Nogura MPHC 
344,HAILAKANDI,Algapur BPHC,Algapur BPHC
345,HAILAKANDI,Algapur BPHC,Matijuri SHC
346,HAILAKANDI,Algapur BPHC,North Narainpur NPHC
347,HAILAKANDI,Algapur BPHC,Chiporsangan NPHC
348,HAILAKANDI,LALA,BELAIPUR MPHC
349,HAILAKANDI,LALA,NITYANANDAPUR SD
350,HAILAKANDI,LALA,VERNERPUR SD
351,HAILAKANDI,LALA,LALA PHC (Lala CHC IN  A SAME CAMPUS )
352,HAILAKANDI,KALINAGAR BPHC,"SOROJINI PHC,KALINAGAR"
