id,district,block,phc
353,HAILAKANDI,KATLICHERRA BPHC,Katlicherra BPHC
354,HAILAKANDI,KATLICHERRA BPHC,Gharmura NPHC
355,HAILAKANDI,KATLICHERRA BPHC,Jamira SD
356,HAILAKANDI,KATLICHERRA BPHC,Gharmura Forest Village PHC
357,JORHAT,Nakachari BPHC,Nakachari BPHC
358,JORHAT,Nakachari BPHC,Selenghat MPHC
359,JORHAT,Solmora BPHC,Solmora BPHC
360,JORHAT,Solmora BPHC,Dhekorgora mphc
361,JORHAT,Solmora BPHC,Debnath Sramh mphc
362,JORHAT,Solmora BPHC,Ownamukh sd 
363,JORHAT,Solmora BPHC,Kolbari SD
364,JORHAT,Solmora BPHC,Noborachuk mphc
365,JORHAT,Solmora BPHC,Puranimati shc
366,JORHAT,Solmora BPHC,Garumora mphc
367,JORHAT,Solmora BPHC,Kachogoral mphc
368,JORHAT,Solmora BPHC,Tankeswar Sarmah mphc
369,JORHAT,Bhogamukh BPHC,Bhogamukh BPHC
370,JORHAT,Bhogamukh BPHC,Ouguri MPHC
371,JORHAT,Titabar BPHC,Titabar BPHC
372,JORHAT,Titabar BPHC,Raidangjuri MPHC
373,JORHAT,Titabar BPHC,Bekajan MPHC
374,JORHAT,Titabar BPHC,Urangial MPHC
375,JORHAT,Titabar BPHC,Tipomia SD
376,JORHAT,Titabar BPHC,Mohimabari MPHC
377,JORHAT,Titabar BPHC,Melamati MPHC
378,JORHAT,Titabar BPHC,Borbamchungi MPHC
379,JORHAT,Titabar BPHC,Samaguri MPHC
380,JORHAT,Kakojan BPHC,Kakojan BPHC
381,JORHAT,Kakojan BPHC,Cenijan MPHC
382,JORHAT,Kakojan BPHC,Pulinahoroni MPHC
383,JORHAT,Kakojan BPHC,Jhanjimukh SD
384,JORHAT,Baghchung BPHC,Baghchung
385,JORHAT,Baghchung BPHC,Dahotia SD
386,JORHAT,Baghchung BPHC,Mariani MPHC
387,JORHAT,Baghchung BPHC,Jalukanibari SD
388,JORHAT,Baghchung BPHC,Attapam
389,JORHAT,Baghchung BPHC,Pokamara
390,JORHAT,KAMALABARI BPHC ,KAMALABARI BPHC 
391,JORHAT,KAMALABARI BPHC ,BONGAON SD
392,JORHAT,KAMALABARI BPHC ,DAKHINPAT SD
393,JORHAT,KAMALABARI BPHC ,RATANPUR MIRI
394,JORHAT,KAMALABARI BPHC ,RATANPUR  LAHON
395,JORHAT,KAMALABARI BPHC ,GEREKI RIVEIN MPHC
396,JORHAT,KAMALABARI BPHC ,RONGACHAHI SD
397,JORHAT,KAMALABARI BPHC ,KARATIPAR MPHC
398,JORHAT,KAMALABARI BPHC ,JENGRAIMUKH MPHC
399,JORHAT,Jorhat UHC,Jorhat MCW Centre
400,JORHAT,Jorhat UHC,BB Dispancery
401,KAMRUP METRO,CAPITAL ZONE,CAPITAL SD
402,KAMRUP METRO,CAPITAL ZONE,KHANAPRA SD
403,KAMRUP METRO,CAPITAL ZONE,BHETAPARA USD
404,KAMRUP METRO,CAPITAL ZONE,HENGARABARI MU
405,KAMRUP METRO,CAPITAL ZONE,NOTBOMA PHC
406,KAMRUP METRO,CAPITAL ZONE,LOKHARA SD
407,KAMRUP METRO,DHIRENPARA ZONE,ODALBAKRA MPHC
408,KAMRUP METRO,EAST ZONE ,East Guwahati SD 
409,KAMRUP METRO,EAST ZONE ,Satgaon USD 
410,KAMRUP METRO,EAST ZONE ,Kharguli MPHC 
411,KAMRUP METRO,EAST ZONE ,Ulubari UHC 
412,KAMRUP METRO,SONAPUR,NORTAP MPHC
413,KAMRUP METRO,SONAPUR,HAHARA MPHC
414,KAMRUP METRO,SONAPUR,KAMARPUR MPHC
415,KAMRUP METRO,SONAPUR,MALOIBARI MPHC
416,KAMRUP METRO,SONAPUR,SONAPUR PHC
417,KAMRUP METRO,SONAPUR,KHETRI SD
418,KAMRUP METRO,SONAPUR,DIMORIA SD
419,KAMRUP METRO,SONAPUR,TAMULIKUCHI SD
420,KAMRUP METRO,SONAPUR,DIGARU SD
421,KAMRUP METRO,SONAPUR,HATIBAGARA MPHC
422,KAMRUP METRO,SONAPUR,PANIKHAITI MPHC
423,KAMRUP METRO,WEST ZONE,Garegaon SD
424,KAMRUP METRO,WEST ZONE,West Ghy SD
425,KAMRUP METRO,WEST ZONE,Kamakhya SD
426,KAMRUP RURAL,Bihdia BPHC,Bihdia PHC
427,KAMRUP RURAL,Bihdia BPHC,Haldha MPHC
428,KAMRUP RURAL,BOKO BPHC,Boko BPHC
429,KAMRUP RURAL,BOKO BPHC,HAHIM SD
430,KAMRUP RURAL,BOKO BPHC,DHUPGURI SD
431,KAMRUP RURAL,BOKO BPHC,DEOCHOR MPHC
432,KAMRUP RURAL,BOKO BPHC,TARABARI SD
433,KAMRUP RURAL,BOKO BPHC,BHALUKGHATA SD
434,KAMRUP RURAL,BOKO BPHC,Jambari MPHC
435,KAMRUP RURAL,BOKO BPHC,Bamunigaon MPHC
436,KAMRUP RURAL,BOKO BPHC,Chatabari SD(Ayur)
437,KAMRUP RURAL,North Guwahati,North Guwahati PHC
438,KAMRUP RURAL,North Guwahati,Phulung MPHC
439,KAMRUP RURAL,North Guwahati,Changsari SD
440,KAMRUP RURAL,North Guwahati,Baihata Chariali MPHC
441,KAMRUP RURAL,North Guwahati,Suktaguri (Manikarneswar) MPHC
442,KAMRUP RURAL,North Guwahati,Athiaboi Banmaja PHC
443,KAMRUP RURAL,North Guwahati,North Guwahati OPD
444,KAMRUP RURAL,NAGARBERA BPHC,NAGARBERA PHC
445,KAMRUP RURAL,NAGARBERA BPHC,MALIBARI MPHC
446,KAMRUP RURAL,NAGARBERA BPHC,HEKRA SD
447,KAMRUP RURAL,NAGARBERA BPHC,BAMUNBORI MPHC
448,KAMRUP RURAL,NAGARBERA BPHC,BARUA BALIJHAR MPHC
449,KAMRUP RURAL,NAGARBERA BPHC,NAITOR KALYANPUR MPHC
450,KAMRUP RURAL,NAGARBERA BPHC,TUPAMARI MPHC
451,KAMRUP RURAL,NAGARBERA BPHC,SONTOLI MPHC
452,KAMRUP RURAL,NAGARBERA BPHC,CHAMARIA SD
453,KAMRUP RURAL,Azara BPHC,Azara PHC
454,KAMRUP RURAL,Azara BPHC,Garal MPHC
455,KAMRUP RURAL,CHHAYGAON,CHHAYGAON PHC
456,KAMRUP RURAL,CHHAYGAON,CHHAYGAON OPD
457,KAMRUP RURAL,CHHAYGAON,JAMUGURI MPHC
458,KAMRUP RURAL,CHHAYGAON,JALUKBARI PANTANMPHC
459,KAMRUP RURAL,CHHAYGAON,GUMI MPHC
460,KAMRUP RURAL,CHHAYGAON,ALIKASH SD
461,KAMRUP RURAL,CHHAYGAON,BATAHIDIA CHAR PHC
462,KAMRUP RURAL,CHHAYGAON,G.B.MPHC
463,KAMRUP RURAL,CHHAYGAON,PANIKHAITY CHAR PHC
464,KAMRUP RURAL,Kamalpur,Kamalpur PHC
465,KAMRUP RURAL,Kamalpur,Dorakohara SD
466,KAMRUP RURAL,Kamalpur,Guiya SD
467,KAMRUP RURAL,Kamalpur,Puthimari MPHC
468,KAMRUP RURAL,Rangia BPHC,Rangia BPHC
469,KAMRUP RURAL,Rangia BPHC,Madhyapanduri MPHC
470,KAMRUP RURAL,Rangia BPHC,Kaniha SD
471,KAMRUP RURAL,Rangia BPHC,Balisatra SD
472,KAMRUP RURAL,Rangia BPHC,Baranghati MPHC
473,KAMRUP RURAL,Rangia BPHC,Puranburka MPHC
474,KAMRUP RURAL,Hajo,Hajo PHC
475,KAMRUP RURAL,Hajo,Bangalparachar PHC
476,KAMRUP RURAL,Hajo,Boromboi MPHC
477,KAMRUP RURAL,Hajo,Buragohainthan MPHC
478,KAMRUP RURAL,Hajo,Dadara MPHC
479,KAMRUP RURAL,Hajo,Dihina MPHC
480,KAMRUP RURAL,Hajo,Ramdia SD
481,KAMRUP RURAL,Hajo,Soniadi MPHC
482,KAMRUP RURAL,RAMPUR,JHAROBARI
483,KAMRUP RURAL,RAMPUR,GUIMARA SD
484,KAMRUP RURAL,RAMPUR,LOHARGHAT SD
485,KAMRUP RURAL,RAMPUR,RAJAPARA SD
486,KAMRUP RURAL,RAMPUR BPHC,KULSI SD
487,KAMRUP RURAL,RAMPUR,Nahira State Dispensary
488,KAMRUP RURAL,RAMPUR,RAMPUR PHC
489,KAMRUP RURAL,Sualkuchi ,Sualkuchi PHC
490,KAMRUP RURAL,Sualkuchi ,Bongshar New PHC
491,KAMRUP RURAL,Sualkuchi ,Halogaon MPHC
492,KAMRUP RURAL,Sualkuchi ,Dampur SD
493,KAMRUP RURAL,Uparhali BPHC/ Uparhali PHC,UPARHALI PHC
494,KAMRUP RURAL,Uparhali BPHC/ U&C Goswami PHC,"U&C GOSWAMI PHC, AMRANGA"
495,KAMRUP RURAL,Uparhali BPHC/ Moniari Tiniali PHC,MONIARI TINIALI
496,KAMRUP RURAL,Uparhali BPHC/ Palasbari PHC,PALASBARI 
497,Karbi Anglong,Manja,Manja
498,Karbi Anglong,Manja,Dhansiri 
499,Karbi Anglong,Manja,Borlangfer 
500,Karbi Anglong,Manja,Mohendijua
501,Karbi Anglong,Bokajan,Balipathar
502,Karbi Anglong,Bokajan,Borpathar
503,Karbi Anglong,Bokajan,Dillai
504,Karbi Anglong,Howraghat,Dengaon
505,Karbi Anglong,Howraghat,Dokmoka
506,Karbi Anglong,Howraghat,Langhin
507,Karbi Anglong,Howraghat,Phuloni
508,Karbi Anglong,Howraghat,Rajapather
509,Karbi Anglong,Howraghat,Centre Bazar
510,Karbi Anglong,Howraghat,Jaipong 
511,Karbi Anglong,Howraghat,Balijuri
512,Karbi Anglong,Howraghat,Tekelanjun
513,Karbi Anglong,Howraghat,Okrreng 
514,Karbi Anglong,Howraghat,Samaguri 
515,Karbi Anglong,Chowkihola,Chokihola 
516,Karbi Anglong,Chowkihola,Malasipathar
517,Karbi Anglong,Chowkihola,Dolamara
518,Karbi Anglong,Chowkihola,Deithor 
519,Karbi Anglong,Chowkihola,Deihori
520,Karbi Anglong,Chowkihola,Rongmongve
521,Karbi Anglong,Donkamokam,Taradubi
522,Karbi Anglong,Donkamokam,Kolonga
523,Karbi Anglong,Donkamokam,Kheroni
524,Karbi Anglong,Donkamokam,Mailoo
525,Karbi Anglong,Donkamokam,Tumpreng
526,Karbi Anglong,Donkamokam,Sildubi
527,Karbi Anglong,Donkamokam,Hanglokrok New PHC
528,Karbi Anglong,Boithalangso,Boithalangso
529,Karbi Anglong,Boithalangso,Bhoksong
530,Karbi Anglong,Boithalangso,Khanduli
531,Karbi Anglong,Boithalangso,Rongchek
532,Karbi Anglong,Boithalangso,Rongmandu 
533,Karbi Anglong,Boithalangso,Rongpangbong 
534,Karbi Anglong,Zirikindeng,Zirikinding 
535,Karbi Anglong,Umpanai,Umpanai
536,Karbi Anglong,Umpanai,Ouguri 
537,Karbi Anglong,Umpanai,Putsari
538,KARBI ANGLONG,Bokajan,Bokajan PHC /CHC
539,KARBI ANGLONG,Donkamokam,Donkamokam BPHC
540,KARBI ANGLONG,Howraghat,Howraghat BPHC
541,Karbi Anglong,Umpanai,Rangjangphong 
542,Karbi Anglong,Umpanai,Borgaon
543,KARIMGANJ,Girishganj ,Girishganj PHC
544,KARIMGANJ,Girishganj ,Latu MPHC
545,KARIMGANJ,Girishganj ,Maizgram SD
546,KARIMGANJ,Girishganj ,Dasgram SHC
547,KARIMGANJ,NILAMBAZAR BPHC,NILAMBAZAR PHC
548,KARIMGANJ,NILAMBAZAR BPHC,KALIGANJ MPHC
549,KARIMGANJ,NILAMBAZAR BPHC,MANOSANGAN SD (MPHC)
550,KARIMGANJ,NILAMBAZAR BPHC,FATEHPUR PHC
551,Karimganj,R K NAGAR ,R.K. Nagar
552,Karimganj,R K NAGAR ,Dullavcherra MPHC
553,Karimganj,R K NAGAR ,Kalacherra MPHC
554,Karimganj,R K NAGAR ,Cheragi PHC
555,Karimganj,R K NAGAR ,Veterbond SD
556,Karimganj,R K NAGAR ,Chargola MPHC
557,Karimganj,R K NAGAR ,Doloo
558,Karimganj,R K NAGAR ,Kalibaribazar SD
559,Karimganj,R K NAGAR ,Anandapur
560,Karimganj,R K NAGAR ,Nivia
561,KARIMGANJ,Patharkandi BPHC,Patharkandi PHC
562,KARIMGANJ,Patharkandi BPHC,Duhalia
563,KARIMGANJ,Patharkandi BPHC,Bazaricherra SHC
564,KARIMGANJ,Patharkandi BPHC,Baraigram MPHC
565,KARIMGANJ,Patharkandi BPHC,Nagrabazar MPHC
566,KARIMGANJ,Patharkandi BPHC,Tilbhum PHC
567,KARIMGANJ,Patharkandi BPHC,Tokerbazar PHC
568,KARIMGANJ,Kachuadam ,Kachuadam PHC
569,KARIMGANJ,Kachuadam ,Badarpur SHC
570,KARIMGANJ,Kachuadam ,Mohakal TC
571,KARIMGANJ,Kachuadam ,Bhanga SD
572,Kokrajhar,Gossaigaon ,Gossaigaon BPHC
573,Kokrajhar,Gossaigaon ,Bhowraguri PHC.
574,Kokrajhar,Gossaigaon ,Tulshibil SHC
575,Kokrajhar,Gossaigaon ,Bhumka MPHC
576,Kokrajhar,Gossaigaon ,Tipkai MPHC.
577,Kokrajhar,Gossaigaon ,Dhuligaon SHC
578,Kokrajhar,Gossaigaon ,Kazigaon SD
579,Kokrajhar,Gossaigaon ,Debitola MPHC.
580,Kokrajhar,Gossaigaon ,Bashbari SD
581,Kokrajhar,Gossaigaon ,Rupsi MPHC.
582,Kokrajhar,Gossaigaon ,Ballimari MPHC
583,Kokrajhar,Gossaigaon ,Kurshakati MPHC.
584,Kokrajhar,Dotma,Angthihara SD
585,Kokrajhar,Dotma,Bonargaon SD
586,Kokrajhar,Dotma,Bhalukmari MPHC
587,Kokrajhar,Dotma,Chithila SHC
588,Kokrajhar,Dotma,Dumariguri SD
589,Kokrajhar,Dotma,Dhauliguri MPHC
590,Kokrajhar,Dotma,Fakiragram SHC
591,Kokrajhar,Dotma,Gossainichina SD
592,Kokrajhar,Dotma,Jharbari SD
593,Kokrajhar,Dotma,Lakhnabari MPHC
594,Kokrajhar,Dotma,Pratapkhata SD
595,Kokrajhar,Dotma,Saktiashram SD
596,Kokrajhar,Dotma,Serfanguri SD
597,Kokrajhar,Dotma,Dotma BPHC
598,Kokrajhar,Kachugaon,Gurufella SHC
599,Kokrajhar,Kachugaon,Jaraguri SD
600,Kokrajhar,Kachugaon,Joymaguri PHC
601,Kokrajhar,Kachugaon,Soraibil SHC
602,Kokrajhar,Kachugaon,Patakata SD
603,Kokrajhar,Kachugaon,Kamalsing SHC
604,Kokrajhar,Kachugaon,Kachugaon BPHC
605,Kokrajhar,Balajan,Bangaldoba PHC
606,Kokrajhar,Balajan,Balajan BPHC
607,Kokrajhar,Balajan,Dholmara PHC
608,Kokrajhar,Balajan,Harinaguri MPHC
609,Kokrajhar,Balajan,Kalipukhuri MPHC
610,Kokrajhar,Balajan,Nayekgaon SD
611,Kokrajhar,Balajan,Owbari PHC
612,Kokrajhar,Balajan,Patgaon SD
613,Kokrajhar,Balajan,Rainadabri PHC
614,Kokrajhar,Balajan,Salakati SD
615,Kokrajhar,Balajan,Simbargaon
616,Kokrajhar,Balajan,Sukanjhora SD
617,LAKHIMPUR,Dhalpur BPHC,Simoluguri SHC
618,LAKHIMPUR,Dhalpur BPHC,Kherajkhat SD
619,LAKHIMPUR,Bihpuria BPHC,Bahgorah MPHC
620,LAKHIMPUR,Bihpuria BPHC,Harmotty MPHC
621,LAKHIMPUR,Bihpuria BPHC,Meneha MPHC
622,LAKHIMPUR,Bihpuria BPHC,Keyamora MPHC
623,LAKHIMPUR,Bihpuria BPHC,Islampur SD
624,LAKHIMPUR,Nawboicha BPHC,Panigaon SHC
625,LAKHIMPUR,Nawboicha BPHC,Gorsiga SD
626,LAKHIMPUR,Nawboicha BPHC,Azad SD
627,LAKHIMPUR,Boginodi BPHC,Gharmora MPHC
628,LAKHIMPUR,Boginodi BPHC,Badhakora MPHC
629,LAKHIMPUR,Boginodi BPHC,Chawldhowa MPHC
630,LAKHIMPUR,Boginodi BPHC,Seajuli MPHC
631,LAKHIMPUR,Boginodi BPHC,Dorge Riverine PHC
632,LAKHIMPUR,Ghilamora BPHC,Sonarichapori MPHC
633,LAKHIMPUR,Ghilamora BPHC,Kekuri Bebejia MPHC
634,LAKHIMPUR,Ghilamora BPHC,Bebejia SD
635,LAKHIMPUR,Dhakuakhana BPHC,Kekuripamua MPHC
636,LAKHIMPUR,Dhalpur BPHC,Narayanpur SHC
637,LAKHIMPUR,Bihpuria BPHC,Laluk MPHC
638,LAKHIMPUR,Boginodi BPHC,Boginodi BPHC
639,LAKHIMPUR,Dhakuakhana BPHC,Harhi MPHC
640,LAKHIMPUR,Dhakuakhana BPHC,Matmora SD
641,LAKHIMPUR,Bihpuria BPHC,Bihpuria BPHC
642,LAKHIMPUR,Dhakuakhana BPHC,Dhakuakhana BPHC/CHC
643,LAKHIMPUR,Dhalpur BPHC ,Dhalpur BPHC
644,LAKHIMPUR,Ghilamora BPHC,Ghilamora BPHC/CHC
645,LAKHIMPUR,Nawboicha BPHC,Nawboicha BPHC
646,LAKHIMPUR,Dhakuakhana BPHC,Bakulguti Riverine PHC
647,MORIGAON,Jhargaon,Jhargaon BPHC
648,MORIGAON,Jhargaon,Dharamtul SHC
649,MORIGAON,Jhargaon,Nellie SD
650,MORIGAON,Jhargaon,Nakhola SHC
651,MORIGAON,Jhargaon,Jagibhakatgaon SD
652,MORIGAON,Jhargaon,Boha Borjhari MPHC
653,MORIGAON,Jhargaon,Meruagaon SD
654,MORIGAON,Jhargaon,Baghara SD
655,MORIGAON,Jhargaon,Manaha MPHC
656,MORIGAON,Jhargaon,BURGAON MPHC
657,MORIGAON,Jhargaon,Lonemati SD
658,MORIGAON,Jhargaon,Nakhola SHC
659,MORIGAON,Jhargaon,Ahatguri SHC
660,MORIGAON,Jhargaon,Khandakhaity Char PHC
661,MORIGAON,Bhurbandha,Bhurbandha BPHC
662,MORIGAON,Bhurbandha,Kahuati SD
663,MORIGAON,Bhurbandha,Gakhajua MPHC
664,MORIGAON,Bhurbandha,Charaibahi SD
665,MORIGAON,Bhurbandha,Borghat MPHC
666,MORIGAON,Bhurbandha,Mikirbheta SD
667,MORIGAON,Bhurbandha,KAPAHERA SHC
668,MORIGAON,Bhurbandha,GORMARI SD
669,MORIGAON,Bhurbandha,BAIDYABORI SHC
670,MORIGAON,Bhurbandha,Jaluguti SD
671,MORIGAON,Bhurbandha,Udari SD
672,MORIGAON,Bhurbandha,Monipurtup New PHC
673,MORIGAON,Bhurbandha,Simoluguri SD
674,MORIGAON,Laharighat,Sialmari SD
675,MORIGAON,Laharighat,Bhuragaon SHC
676,MORIGAON,Laharighat,Niz-Gerua SD
677,MORIGAON,Laharighat,Baralimari SD
678,MORIGAON,Laharighat,Nagabandha New PHC
679,MORIGAON,Laharighat,Jengpori Char PHC
680,MORIGAON,Laharighat,Kathani Char PHC
